operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
CPV Canton Mountain Wind LLC,22.8,1,NAICS-22 Non-Cogen,0.2523427763397565,,0.0183492332792994
Power County Wind Park North LLC,22.5,1,NAICS-22 Non-Cogen,0.31012952843553937,-0.04558287795992716,0.018107795999308618
Power County Wind Park South LLC,22.5,1,NAICS-22 Non-Cogen,0.2701022060311678,-0.04890710382513658,0.018107795999308618
Idaho Winds LLC,22.4,1,NAICS-22 Non-Cogen,0.30631993234452254,0.0345189305230289,0.01802731690597836
Iowa Lakes Electric Coop,21.0,1,Electric Utility,0.38361956804579755,-0.024069737184491236,0.016900609599354712
Apollo Energy Corp,21.0,1,NAICS-22 Non-Cogen,0.6058743169398907,-0.03818089166449823,0.016900609599354712
"Hot Springs Windfarm, LLC",21.0,1,NAICS-22 Non-Cogen,0.2058667273831208,0.004870543845953673,0.016900609599354712
Bennett Creek Windfarm LLC,21.0,1,NAICS-22 Non-Cogen,0.2343871975019516,0.03047749154306531,0.016900609599354712
CPV Spruce Mountain Wind LLC,20.0,1,NAICS-22 Non-Cogen,0.3061930783242259,,0.016095818666052107
"Grant County Wind, LLC",20.0,1,NAICS-22 Non-Cogen,0.3125,0.01717326958105647,0.016095818666052107
Echo 2,20.0,1,NAICS-22 Non-Cogen,0.2360712659380692,-0.033413023679417175,0.016095818666052107
Edom Hills Project 1 LLC,20.0,1,NAICS-22 Non-Cogen,0.0693362932604736,,0.016095818666052107
"Aspenall Energies (Delaware), LLC",20.0,1,NAICS-22 Non-Cogen,0.16497040072859745,,0.016095818666052107
Pleasant Hill Wind Energy LLC,19.8,1,NAICS-22 Non-Cogen,0.22917586612941804,0.00015524093392946248,0.015934860479391588
Massachusetts Mun Wholes Electric Co,19.6,1,Electric Utility,0.1579460336046987,-0.16819193524404294,0.015773902292731064
"Cassia Gulch Wind Park, LLC",18.9,1,NAICS-22 Non-Cogen,0.2378964639893602,-0.01498196576748484,0.01521054863941924
"Marshall Wind Farm, LLC",18.9,1,NAICS-22 Non-Cogen,0.03721894546120412,-0.0014757471496997868,0.01521054863941924
"Buffalo Bear, LLC",18.9,1,NAICS-22 Non-Cogen,0.113090419329035,,0.01521054863941924
"Spanish Fork Wind Park 2, LLC",18.9,1,NAICS-22 Non-Cogen,0.26970032092982915,,0.01521054863941924
Fire Island Wind LLC,17.6,1,NAICS-22 Non-Cogen,0.31940175318761377,0.014088114754098324,0.014164320426125854
Westridge Windfarm LLC,17.1,1,NAICS-22 Non-Cogen,0.0019173617102866453,-0.00932716581983191,0.013761924959474552
International Turbine Res Inc,17.01,1,NAICS-22 Non-Cogen,0.007817109618364423,-0.05611854807361789,0.013689493775477318
CalWind Resources Inc,16.63,1,NAICS-22 Non-Cogen,0.423251349141876,0.020254974543470583,0.013383673220822328
Chevron USA,16.5,1,NAICS-22 Non-Cogen,0.0,-0.14273196445327593,0.01327905039949299
Jericho Power LLC,14.25,1,NAICS-22 Non-Cogen,0.1652126673696993,-0.03678138880899881,0.011468270799562126
"Foundation HA Energy Generation, LLC",13.9,2,NAICS-22 Non-Cogen,0.1679138575509691,0.006824418058462983,0.011186593972906214
"South Fork Wind, LLC",13.8,1,NAICS-22 Non-Cogen,0.43111982260236,0.039077967846677775,0.011106114879575954
"Greensburg Wind Farm, LLC",12.5,1,NAICS-22 Non-Cogen,0.09603825136612022,-0.09325136612021857,0.010059886666282566
"Lakota Ridge, LLC (Longroad)",12.25,1,NAICS-22 Non-Cogen,0.15488271811456822,,0.009858688932956916
"Shaokatan Hills, LLC (Longroad)",11.88,1,NAICS-22 Non-Cogen,0.11564491300374723,,0.009560916287634951
